"Source","HusbandName","HusbandTribe","HusbandSubtribe1",,,,"Source for non-Qurashi tribal affiliation","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ159","الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad",,,,5,"أمنة بنت علقمة بن صفوان بن امية بن محرث بن خمل بن شق بن رقبة بن مخرج بن الحارث بن ثعلبة بن مالك بن كنانة","Kinana",,,,,,5,2,,,,
"NQ330","عمارة بن الوليد بن المغيرة","Quraysh","Makhzum",,,,,5,"بلعاء بن قيس الكنانى","Kinana",,,,,,2,,,,,
"NQ276","ابو بكر الصديق بن ابو قحافة بن عامر بن عمرو بن كعب بن سعد بن تيم بن مرة","Quraysh","Taym b. Murra",,,,,5,"ام رومان بنت عامر بن عويمر بن عبد شمس بن عتاب بن اذينة بن سبيع بن دهمان بن الحارث بن غنم بن مالك بن كنانة","Kinana",,,,,,1,1,,,,
"NQ436","قيس بن شريح بن مالك بن ربيعة بن اهيب بن ضباب بن حجير بن عبد بن معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,,6,"ام القاسم بنت عبد الله من بنو عدى بن الدئل","Kinana","Bakr b. Abd Mana'a","Du'il",,,,2,,,,,
"NQ407","كثير بن المطلب بن ابو وداعة بن صبيرة بن سعيد بن سعد بن سهم","Quraysh","Sahm",,,,,6,"عائشة بنت عمرو بن ابو عقرب/خويلد بن عبد الله بن خالد بن بجير بن حماس بن عويج بن بكر بن عبد مناة","Kinana","Bakr b. Abd Mana'a",,,,,1,,,,,
"NQ274","مسلم بن عبيد الله بن عبد الله الاصغر بن شهاب بن عبد الله بن الحارث بن زهرة","Quraysh","Zuhra",,,,,6,"Unnamed","Kinana","Bakr b. Abd Mana'a","Du'il",,,,,,,,,
"NQ126","امية بن ابو سفيان بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad","Sufyanid",,,6,"زينب بنت نوفل بن خلف بن فوالة بن حذيفة بن طريف بن علقمة بن فراس بن غنم بن مالك بن كنانة","Kinana","Firas b. Ghanam",,,,,1,1,,,,
"NQ435","قيس بن شريح بن مالك بن ربيعة بن اهيب بن ضباب بن حجير بن عبد بن معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,,6,"قتيلة بنت وهب بن عبد الله بن عبد الله بن ربيعة بن طريف بن جدى بن سعد بن ليث بن بكر","Kinana","Layth",,,,,2,,,,,
"NQ278","محمد بن عبد الرحمن بن ابو بكر الصديق بن ابو قحافة بن عامر بن عمرو بن كعب بن سعد بن تيم بن مرة","Quraysh","Taym b. Murra",,,,,7,"رميثة بنت الحارث بن حذيفة بن مالك بن ربيعة من بنو فراس بن غنم بن مالك بن كنانة","Kinana","Faris b. Ghanam b. Malik b. Kinana",,,,,1,,,,,
"NQ228","عبد الله الاكبر بن وهب بن زمعة بن الاسود بن المطلب بن اسد بن عبد العزى","Quraysh","Qusayy","Asad",,,,7,"بنت الحارث بن عامر بن ربيعة من بنو فراس","Kinana","Firas b. Ghanam",,,,,1,,,,,
"NQ76","ابو هاشم عبد الله بن محمد بن على","Quraysh","Qusayy","Hashim","Alid",,,7,"خلدة بنت علقمة بن الحويرث بن عبد الله بن خلف بن آبى اللحم من بنو غفار","Kinana","Ghifar",,,,,2,,,,,
"NQ180"," سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",,,,7,"Woman of Kinana","Kinana",,,,,,1,,,,,
"NQ151","عبد الله بن محمد بن عبد الله بن الحارث بن امية الاصغر بن عبد شمس","Quraysh","Qusayy",,,,,7,"رملة بنت العلاء بن طارق المرقع من بنو كنانة","Kinana",,,,,,1,,,,,
"NQ392","محمد  بن صفوان بن عبيد الله بن عبد الله بن ابى بن خلف بن وهب بن حذافة بن جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,,8,"ام المعتمر بنت مسلم بن ربيعة الكنانى","Kinana",,,,,,1,,,,,
"NQ126","ازهر بن عبد عوف","Quraysh","Zuhra",,,,,,"Unnamed","Kinana","Al-Harith b. 'Abd Manaa",,,,,1,,,,,
