Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
311,NQ54,??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,????? ??? ????/??? ???? ?? ??? ????? ?? ??? ???? ?? ???? ( ?? ?????? ?? ?????? ?? ??? ?? ??? ????? ?? ????),Quraysh,Qusayy,Asad,,,9,1,,,,,
309,NQ53,??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,??? ??? ??? ????? ?? ??? ???? ?? ???? ?? ?????? ?? ?????? ?? ??? ?? ??? ????? ?? ???,Quraysh,Qusayy,Asad,,,8,3,3,,,,
285,NQ50,?????? ?? ??? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,?? ???? ??? ?????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,2,1,,,,
362,NQ62,????? ?? ????? ?? ??? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,?? ????? ??? ??? ?????? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,,,,,,
365,NQ62,??? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,???? ??? ??? ?????? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,,,,,,
360,NQ62,??? ?? ?????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,???? ??? ??? ?????? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,2,,,,,
333,NQ56,????? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,Unnamed - ?? ??? ???? ?? ???? ?? ???? ?? ????,Qays Aylan,Amir b. Sa'sa'a,Malik of Ja'far of Kilab,,,,3,,,,,
712,NQ117,??????? ?? ??? ???? ?? ??? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,???? ?????? ??? ???? ?????? ?? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,10,,,,,,
336,NQ56,??????? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,????? ??? ???? ?? ??? ???? ?? ??? ???? ?? ??? ???? ?? ???????,Quraysh,Makhzum,,,,8,3,,,,,
334,NQ56,????? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,????? ??? ???? ?? ??? ?? ???? ???? ?? ???? (?? ????? ?? ???? ?? ??? ?? ??? ?? ??? NQ 288),Quraysh,Taym b. Murra,,,,8,2,,,,,
340,NQ56,???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,????? ??? ??? ?? ?????? ?? ?????? ?? ??? ???? ?? ????? ?? ?????,Azd,,,,,,1,1,,,,
310,NQ53,??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,????? ??? ??? ????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ??????? ?? ??? ???? ?? ??? ?? ?????,Quraysh,Makhzum,,,,9,3,,,,,
304,NQ53,???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,8,????? ??? ??? ???? ?? ???? ?? ???? ?? ????? ?? ???? ?? ???? ??????,Thaqif,,,,,,,2,,,,
317,NQ54,???? ?? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,????? ??? ???? ?? ???? ?? ?????? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,,9,1,,,,,
312,NQ54,??? ????/??? ???? ?? ??? ?? ??? ?? ??? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,????? ??? ??? ???? ?? ????? ?? ????? ?? ??? ,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,3,1,,,,
337,NQ56,????? ?? ??????? ?? ??? ?? ??? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,???? ??? ??? ???? ?? ????? ?? ?????,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,1,,,,,
313,NQ54,??? ?? ????? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,???? ??? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,4,3,,,,
316,NQ54,???? ?? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,?? ???? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,,3,2,,,,
307,NQ53,???? ?? ??? ???? ?? ??? ?? ??? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,?? ???? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,3,2,,,,
315,NQ54,????? ?? ??????? ?? ??? ?? ??? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,?? ????? ??? ??? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,,,,,,
338,NQ56,??????? ?? ??????? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,Unnamed woman - ?? ??? ???? ?? ????,Qays Aylan,Amir b. Sa'sa'a,Hilal,,,,1,,,,,
332,NQ55,????? ?? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,Unnamed woman - Barbariya,Berber,,,,,,1,,,,,
331,NQ55,?????? ?? ?? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,Unnamed woman - Fazariya,Ghatafan,Fazara,,,,,1,,,,,
329,NQ55,???? ?? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,?? ???? ??? ???? ?? ???? ?? ??? ???? ?? ??? ?????? ?? ??? ???,Quraysh,Taym b. Murra,,,,10,1,,,,,
330,NQ55,???? ?? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,9,????? ??? ??????? ?? ???? ?? ??? ?? ???? ???? ?? ???? (?? ????? ?? ???? ?? ??? ?? ??? ?? ??? NQ 288),Quraysh,Taym b. Murra,,,,9,1,,,,,
323,NQ55,??????? ?? ??????? ?? ????? ?? ??? ?? ??? ?? ??? ,Quraysh,Qusayy,Hashim,Alid,Hasanid,10,????  ??? ???? ?? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,10,,,,,,
326,NQ55,??????? ?? ???? ?? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,10,???? ??? ??? ???? ?? ???? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,1,,,,,
319,NQ55,????? ?? ??????? ?? ??? ???? ?? ??? ?? ??? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,10,????? ??? ???? ?? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,10,,,,,,
435,NQ72,???? ?? ??????? ?? ??? ?? ??? ?? ??? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,10,????? ??? ???? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,,,,,
400,NQ65,???? ?? ??? ???? ?? ????? ?? ????? ?? ??? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,10,???? ??? ???? ?? ??? ???? ?? ??? ?? ?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,2,3,,,,
327,NQ55,??????? ?? ???? ?? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,10,Unnamed woman of Banu Ja'far b. Kilab,Qays Aylan,Amir b. Sa'sa'a,Ja'far b. Kilab,,,,1,,,,,
420,NQ67,????? ?? ??? ???? ?? ??? ?? ???? ?? ??? ?? ??? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,11,?? ????? ??? ???? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,,,,,
324,NQ55,??? ???? ?? ????? ?? ??????? ?? ??? ???? ?? ??? ?? ??? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,11,????  ??? ???? ?? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,10,,,,,,
431,NQ71,??? ?? ???? ?? ?????? ?? ??? ?? ??? ?? ??? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,11,????? ??? ???? ?? ??? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,,2,,,,
328,NQ55,????? ?? ??????? ?? ???? ?? ??? ???? ?? ????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,11,Unnamed woman - zuima min Banu Tamim,Tamim  ,,,,,,1,,,,,
