"Numbering","Source","HusbandName","HusbandTribe ","HusbandSubtribe1","HusbandSubtribe2","HusbandGeneration","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtribe3","WifeSubtribe4",,"WifeGeneration","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
867,"NQ135","الحارث بن حرب بن امية","Quraysh","Qusayy","Umayyad",5,"صفية بنت عبد المطلب بن هاشم","Quraysh","Qusayy","Hashim",,,4,,1,,,,
979,"NQ159","الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad",5,"مليكة بنت اوفى بن خارجة بن سنان بن ابو حارثة بن مرة بن نشبة بن غيظ بن مرة بن عوف","Ghatafan","Murra b. Awf",,,,,5,4,,,,
976,"NQ159","الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad",5,"أمنة بنت علقمة بن صفوان بن امية بن محرث بن خمل بن شق بن رقبة بن مخرج بن الحارث بن ثعلبة بن مالك بن كنانة","Kinana",,,,,,5,2,,,,
986,"NQ160","الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad",5,"البعيثة بنت هاشم بن عتبة (بن ربيعة بن عبد شمس)","Quraysh","Qusayy","Abd Shams",,,6,1,,,,,
981,"NQ159","الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad",5,"ام النعمان بنت الحارث بن انس بن ابو عمرو بن عمرو بن وهب بن عمرو بن عامر بن سيار بن مالك بن حطيط بن جشم بن قسى/ثقيف بن منبه بن بكر بن هوازن","Thaqif",,,,,,3,3,,,,
984,"NQ160","الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad",5,"بنت منبه بن شبيل بن العجلان بن عتاب بن مالك بن كعب من ثقیف","Thaqif",,,,,,5,1,,,,
1087,"NQ173","المغيرة بن ابو العاصى","Quraysh","Qusayy","Umayyad",5,"بسرة بنت صفوان بن نوفل بن اسد بن عبد العزى","Quraysh","Qusayy","Asad",,,5,1,,,,,
1419,"NQ267","حذيفة بن عتبة بن ربيعة (بن عبد شمس)","Quraysh","Qusayy","Umayyad",5,"سهلة بنت سهيل بن عمرو بن عبد شمس","Quraysh","Qusayy","Umayyad",,,5,1,,,,,
1100,"NQ174","سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",5,"ام خالد بنت خباب بن عبد ياليل بن ناشب بن غيرة بن سعد بن ليث بن بكر ","Kinana","Layth",,,,,1,,,,,
1095,"NQ174","سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",5,"صفية بنت المغيرة بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,4,4,,,,,
1096,"NQ174","سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",5,"هند بنت المغيرة بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,4,2,1,,,,
887,"NQ138","طبيق بن سفيان بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",5,"اروى بنت ابو معيط بن ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",,,6,,,,,,
85,"NQ18","عفان بن ابو العاص","Quraysh","Qusayy","Umayyad",5,"اروى بنت كريز بن ربيعة بن حبيب بن عبد شمس","Quraysh","Qusayy",,,,6,1,,,,,
2009,"NQ381","عفيف بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad",5,"النابغة بنت حرملة","Concubine of Anaza b. Asad b. Rabi'a",,,,,,,1,,,,
864,"NQ134","عمرو بن حرب بن امية","Quraysh","Qusayy","Umayyad",5,"الفارعة بنت عدى بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,4,1,1,,,,
2256,"NQ425","عمرو بن حرب بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",5,"زينب بنت عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,4,1,,,,,
878,"NQ137","کمیم بن ابو عمرو","Quraysh","Qusayy","Umayyad",5,"برة بنت عبد العزى بن عثمان بن عبد الدار بن قصى","Quraysh","Qusayy","Abd al-Dar",,,,,1,,,,
871,"NQ137","مسافر بن ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",5,"Unnamed",,,,,,,,1,,,,
1075,"NQ171","ابان بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",6,"ام عثمان بنت خالد بن عقبة بن ابو معيط","Quraysh","Qusayy","Umayyad",,,8,2,1,,,,
1066,"NQ170","الحارث بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",6,"بنت ذؤيب بن حلحلة من خزاعة","Khuza'a ",,,,,,,1,,,,
1068,"NQ170","الحارث بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",6,"عائشة بنت عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",,7,2,,,,,
1065,"NQ170","الحارث بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",6,"المفداة بنت ازبرقان بن بدر بن امرئ القيس بن خلف بن بهدلة بن عوف بن كعب بن سعد بن زيد مناة بن تميم","Tamim","Zayd Mana'a",,,,,4,,,,,
1101,"NQ176","العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",6,"ام كلثوم بنت عمرو بن عبد الله بن ابو قيس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,5,1,,,,,
1083,"NQ172","حبيب بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",6,"مريم بنت عبد الله بن ابو معقل بن نهيل بن اساف من بنو حارثة من الاوس","Aws","Harith",,,,,,1,,,,
1136,"NQ188","خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",6,"ريطة بنت عبد الله بن خزاعى بن اسيد بن الحويرث بن الحارث بن حبيب بن الحارث بن مالك بن حطيط بن جشم من ثقيف","Thaqif",,,,,,3,,,,,
1587,"NQ303","خالد بن سعيد بن العاصى","Quraysh","Qusayy","Umayyad",6,"ام حكيم بنت الحارث بن هشام بن المغيرة بن عبد الله بن عمر بن مخزوم بن يقظة بن مرة بن كعب بن لؤى بن غالب بن فهر","Quraysh","Makhzum",,,,6,,,,,,
1074,"NQ171","عبد الرحمن بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",6,"ام القاسم بنت عبد الله بن خالد بن اسيد","Quraysh","Qusayy","Umayyad",,,8,2,,,,,
1135,"NQ187","عتاب بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",6,"جويرية بنت ابو جهل بن هشام بن المغيرة  (بن عبدالله بن عمر بن مخزوم)","Quraysh","Makhzum",,,,6,1,,,,,
904,"NQ147","عقبة بن ابو معيط بن ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",6,"اروى بنت كريز بن ربيعة بن حبيب بن عبد شمس","Quraysh","Qusayy","Abd Shams",,,6,,,,,,
1088,"NQ173","معاوية بن المغيرة بن ابو العاصى","Quraysh","Qusayy","Umayyad",6,"فاطمة بنت عامر بن حذيم بن سلامان بن ربيعة بن سعد بن اسد بن جمح","Quraysh","Jumah",,,,7,,1,,,,
1077,"NQ171","يحيى بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",6,"ام كلثوم بنت محمد بن ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,7,2,,,,,
1080,"NQ172","يحيى بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",6,"زينب بنت عبد الرحمن بن الحارث بن هشام","Quraysh","Makhzum",,,,7,1,1,,,,
1078,"NQ171","يحيى بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",6,"ام سليمان بنت عامر ذى الغصة بن الحرش بن كعب بن قيس","Unknown",,,,,,2,1,,,,
896,"NQ146","الوليد بن عقبة بن ابو معيط بن ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",7,"الربيع بنت ذى الخمار من بنو اسد بن خزيمة","Asad b. Khuzayma",,,,,,1,,,,,
1121,"NQ181","خالد بن عقبة (بن ابو معيط بن ابو عمرو بن امية)","Quraysh","Qusayy","Umayyad",7,"رملة بنت سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",,,8,,,,,,
897,"NQ147","خالد بن عقبة بن ابو معيط بن ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",7,"تماضر بنت الاصبغ بن عمرو بن ثعلبة بن الحارث بن حصن الكلبى (بن ضمضم بن عدى بن جناب بن هبل بن كلب)","Kalb",,,,,,1,,,,,
824,"NQ131","سعيد بن العاصى بن سعيد بن العاصى","Quraysh","Qusayy","Umayyad",7,"اميمة بنت جرير بن عبد الله البجلى","Bajila",,,,,,,1,,,,
1622,"NQ308","سعيد بن العاصى بن سعيد بن العاصى (بن امية)","Quraysh","Qusayy","Umayyad",7,"ام سلمة بنت عبد الرحمن بن الحارث بن هشام (بن المغيرة)","Quraysh","Makhzum",,,,7,,,,,,
1120,"NQ181","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",7,"بنت عامر بن مالك بن عامر","Bajila",,,,,,,3,,,,
1117,"NQ181","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",7,"عائشة بنت جرير بن عبد الله البجلى","Bajila",,,,,,1,1,,,,
1105,"NQ180","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",7,"Woman of Kinana","Kinana",,,,,,1,,,,,
1110,"NQ180","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",7,"ام سلمة بنت حبيب بن بجير بن عامر بن مالك بن جعفر بن كلاب","Qays Aylan","Amir b. Sa'sa'a","Malik of Ja'far of Kilab",,,,1,,,,,
1116,"NQ181","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",7,"بنت سلمة بن قيس بن علاثة بن عوف بن الاحوص بن جعفر","Qays Aylan","Amir b. Sa'sa'a","Kilab b. Rabi'a",,,,1,,,,,
1102,"NQ178","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",7,"ام البنين بنت الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad",,,6,2,,,,,
1103,"NQ179","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",7,"ام حبيب بنت جبير بن مطعم بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,6,1,,,,,
1106,"NQ180","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",7,"ام عمرو بنت عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",,7,4,1,,,,
1111,"NQ180","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",7,"بنت عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",,7,1,,,,,
1104,"NQ179","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",7,"العالية بنت سلمة بن يزيد بن مشجعة بن المجمع بن مالك بن كعب بن سعد بن عوف بن حريم بن جعفى بن سعد العشيرة","Yemen ","Madhhij",,,,,1,,,,,
2216,"NQ420","عبد الرحمن بن عتاب بن اسيد (بن ابو العيص بن امية بن عبد شمس)","Quraysh","Qusayy","Umayyad",7,"هند بنت سهيل بن عمرو بن عبد شمس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,5,,,,,,
1151,"NQ193","عبد الرحمن بن عتاب بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",7,"بنت ابو اهاب بن عزيز (بن قيس بن سويد بن ربيعة بن زيد بن عبد الله بن دارم)","Tamim",,,,,,1,,,,,
2014,"NQ382","عبد العزيز بن الحارث بن الحكم","Quraysh","Qusayy","Umayyad",7,"عاتكة بنت النعمان بن عدى بن نضلة بن عبد العزى بن حرثان بن عوف بن عبيد بن عويج بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,7,1,,,,,
1365,"NQ253","عبد الله بن خالد بن اسيد (بن ابو العيص)","Quraysh","Qusayy","Umayyad",7,"ام حجير/برة بنت شيبة بن عثمان بن طلحة بن ابو طلحة بن عبد العزى بن عثمان بن عبد الدار بن قصى ","Quraysh","Qusayy","Abd al-Dar",,,8,,,,,,
662,"NQ112","عبد الله بن خالد بن اسيد بن ابو العيص","Quraysh","Qusayy","Umayyad",7,"ام خالد بنت عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",,7,,,,,,
661,"NQ112","عبد الله بن خالد بن اسيد بن ابو العيص","Quraysh","Qusayy","Umayyad",7,"ام عثمان بنت عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",,7,,,,,,
1142,"NQ191","عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",7,"سرية بنت حصن بن حذيفة بن بدر الفزارى","Ghatafan","Fazara",,,,,2,,,,,
1137,"NQ188","عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",7,"بنت المكعبر","Persian",,,,,,1,,,,,
1140,"NQ190","عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",7,"ام حبيب بنت جبير بن مطعم بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,6,2,,,,,
1143,"NQ192","عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",7,"مليكة بنت حصين بن عبد يغوث بن مروان","Yemen","Madhhij","Murad",,,,2,4,,,,
991,"NQ160","عبد الملك بن الحارث بن الحكم","Quraysh","Qusayy","Umayyad",7,"ام عثمان بنت مروان بن الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad",,,7,,,,,,
1069,"NQ170","عبد الملك بن الحارث بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",7,"ام عمرو بنت عبد الرحمن بن الحكم","Quraysh","Qusayy","Umayyad",,,7,1,1,,,,
1071,"NQ170","عبد الملك بن الحارث بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",7,"المدلة بنت زرعة بن العارف الضبابي","Unknown",,,,,,,,,,,
1084,"NQ172","عثمان بن ابان بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",7,"ام عبد الله بنت حبيب بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",,,7,,1,,,,
663,"NQ112","عثمان بن الحارث بن الحكم بن أبي العاصي","Quraysh","Qusayy","Umayyad",7,"عائشة بنت عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",,7,,,,,,
1073,"NQ171","اسماعيل بن عبد الملك بن الحارث بن الحكم بن العاصى","Quraysh","Qusayy","Umayyad",8,"ام كلثوم بنت الحسين بن الحسن بن على","Quraysh","Qusayy","Hashim","Alid","Husaynid",8,5,,,,,
666,"NQ112","خالد بن الوليد بن عقبة بن ابو معيط بن أبو عمرو بن أمية","Quraysh","Qusayy","Umayyad",8,"اروى بنت عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",,7,,,,,,
1149,"NQ192","خالد بن عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",8,"عائشة بنت عبد الله بن خلف بن اسعد بن عامر بن بياضة الخزاعى","Khuza'a ",,,,,,2,,,,,
482,"NQ76","سعيد بن عبد الله بن عمرو بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",8,"لبابة بنت عبد الله بن محمد بن على","Quraysh","Qusayy","Hashim","Alid",,8,,,,,,
1046,"NQ168","عبد الله بن عبد العزيز بن الحارث بن الحكم","Quraysh","Qusayy","Umayyad",8,"رملة بنت محمد بن مروان بن الحكم","Quraysh","Qusayy","Umayyad","Marwanid",,8,,1,,,,
1128,"NQ182","عمرو بن سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",8,"ام حبيب بنت حريث بن سليم من بنو عذرة","Udhra",,,,,,4,1,,,,
1125,"NQ181","محمد بن عثمان بن محمد بن ابو سفيان","Quraysh","Qusayy","Umayyad",8,"اميمة بنت سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",,,8,,,,,,
1131,"NQ182","يحيى بن سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",8,"ام عيسى بنت عبيد الله بن عمر بن الخطاب","Quraysh","Adi b. Ka'b",,,,7,1,,,,,
1911,"NQ363","سعيد بن يحيى بن سعيد بن العاصى بن سعيد","Quraysh","Qusayy","Umayyad",9,"ام سلمة بنت ابو بكر بن عبيد الله بن عمر بن الخطاب","Quraysh","Adi b. Ka'b",,,,9,,,,,,
697,"NQ116","يحيى بن عباد بن عبد الله بن خالد بن اسيد (ابو العيص)","Quraysh","Qusayy","Umayyad",9,"اسماء بنت عروة بن الزبير بن العوام","Quraysh","Qusayy","Asad","Zubayrid",,8,,2,,,,
647,"NQ104","عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",6,"ام عمرو بنت جندب بن عمرو بن حممة من الازد من دوس","Daws","Azd",,,,,4,1,,,
650,"NQ104","عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",6,"ام البنين بنت عيينة بن حصن بن حذيمة بن بدر","Ghatafan","Fazara",,,,,1,,,,
653,"NQ105","عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",6,"نائلة بنت الفرافصة بن الاحوص بن عمرو بن ثعلبة بن الحارث بن حصن بن ضمضم بن عدى بن جناب بن كلب بن وبرة","Kalb",,,,,,,3,,,
646,"NQ104","عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",6,"فاختة بنت غزوان بن جابر","Qays Aylan","Mazin b. Mansur",,,,,1,,,,
1660,"NQ312","عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",6,"ام عبد الله بنت الوليد بن عبد شمس بن المغيرة بن عبد الله بن عمرو بن مخزوم","Quraysh","Makhzum",,,,6,2,,,,
127,"NQ23","عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",6,"ام كلثوم بنت محمد  ","Quraysh","Qusayy","Hashim",,,6,,,,,
126,"NQ22","عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",6,"رقية بنت محمد","Quraysh","Qusayy","Hashim",,,6,1,,,,
959,"NQ156","عثمان بن عفان بن ابو العاص","Quraysh","Qusayy","Umayyad","Uthmanid",6,"رملة بنت شيبة بن ربيعة بن عبد شمس","Quraysh","Qusayy","Abd Shams",,,5,,,,,
1612,"NQ307","ابان بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",7,"ام سعيد بنت عبد الرحمن بن الحارث بن هشام (بن المغيرة)","Quraysh","Makhzum",,,,7,,,,,
753,"NQ121","الوليد بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",7,"ام عمرو بنت مروان بن الحكم","Quraysh","Qusayy","Umayyad","Marwanid",,7,,1,,,
751,"NQ121","الوليد بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",7,"عائشة بنت الزبير","Quraysh","Qusayy","Asad","Zubayrid",,6,1,,,,
754,"NQ121","الوليد بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",7,"لبابة بنت الاسود بن سفيان بن عبد الاسد بن هلال بن عبد الله بن عمرو بن مخزوم","Quraysh","Makhzum",,,,7,,1,,,
758,"NQ121","سعيد بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",7,"ابنة ابو سفيان بن حرب بن امية","Quraysh","Qusayy","Umayyad","Sufyanid",,6,1,1,,,
747,"NQ120","عمر بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",7,"ام الحكم بنت ذؤيب بن حلحلة بن عمرو بن كليب بن اصرم بن عبد الله بن قمير بن حبشية بن سلول بن كعب","Khuza'a",,,,,8,,1,,,
803,"NQ128","عمرو بن عثمان بن  عفان","Quraysh","Qusayy","Umayyad","Uthmanid",7,"رملة بنت معاوية بن ابو سفيان","Quraysh","Qusayy","Umayyad","Sufyanid",,7,2,,,,
672,"NQ113","عمرو بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",7,"Unnamed - من بنو مرة بن عوف","Ghatafan","Murra b. Awf",,,,,1,,,,
1067,"NQ170","عمرو بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",7,"ام كلثوم بنت الحارث بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",,,7,,,,,
668,"NQ113","عمرو بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",7,"حفصة بنت عبد الله بن عمر بن الخطاب","Quraysh","Adi b. Ka'b",,,,8,1,,,,
727,"NQ118","بكير بن عمرو بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",8,"سكينة بنت مصعب بن الزبير بن العوام","Quraysh","Qusayy","Asad","Zubayrid",,7,,1,,,
825,"NQ131","خالد بن عمرو بن عثمان","Quraysh","Qusayy","Umayyad","Uthmanid",8,"ام عثمان بنت سعيد بن العاصى بن سعيد بن العاصى","Quraysh","Qusayy","Umayyad",,,8,1,,,,
750,"NQ120","زيد بن عمر بن عثمان","Quraysh","Qusayy","Umayyad","Uthmanid",8,"سكينة بنت الحسين","Quraysh","Qusayy","Hashim","Alid","Husaynid",,,,,,
744,"NQ120","عبد الرحمن بن ابان بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",8,"حنتمة بنت محمد بن عبد الرحمن بن الحارث بن هشام بن المغيرة","Quraysh","Makhzum",,,,8,1,1,,,
1608,"NQ306","عبد الله بن عمرو بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",8,"اسماء بنت عبد الرحمن بن الحارث بن هشام (بن المغيرة)","Quraysh","Makhzum",,,,7,,,,,
679,"NQ114","عبد الله بن عمرو بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",8,"ام عبد العزيز بنت عبد الله بن خالد بن اسيد بن ابو العيص بن امية","Quraysh","Qusayy","Umayyad",,,8,2,3,,,
682,"NQ114","عبد الله بن عمرو بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",8,"ام عمرو بنت ابان بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",,8,1,1,,,
680,"NQ114","عبد الله بن عمرو بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",8,"فاطمة بنت حسين بن على","Quraysh","Qusayy","Hashim","Alid","Husaynid",7,2,"1+B679C679:T679B679:T679",,,
1259,"NQ220","عبد الله بن عمرو بن عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",8,"فاطمة بنت عبد الله بن السائب بن ابو حبيش بن المطلب بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,7,,,,,
