Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandGeneration,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
663,NQ112,????? ?? ?????? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,7,????? ??? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,7,,,,,,
1073,NQ171,??????? ?? ??? ????? ?? ?????? ?? ????? ?? ??????,Quraysh,Qusayy,Umayyad,8,?? ????? ??? ?????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,5,,,,,
666,NQ112,???? ?? ?????? ?? ???? ?? ??? ???? ?? ??? ???? ?? ????,Quraysh,Qusayy,Umayyad,8,???? ??? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,7,,,,,,
1149,NQ192,???? ?? ??? ???? ?? ???? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,8,????? ??? ??? ???? ?? ??? ?? ???? ?? ???? ?? ????? ???????,Khuza'a ,,,,,,2,,,,,
482,NQ76,???? ?? ??? ???? ?? ???? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,8,????? ??? ??? ???? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,,8,,,,,,
1046,NQ168,??? ???? ?? ??? ?????? ?? ?????? ?? ?????,Quraysh,Qusayy,Umayyad,8,???? ??? ???? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,,8,,1,,,,
1128,NQ182,???? ?? ???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,8,?? ???? ??? ???? ?? ???? ?? ??? ????,Udhra,,,,,,4,1,,,,
1125,NQ181,???? ?? ????? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,8,????? ??? ???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,,,8,,,,,,
1131,NQ182,???? ?? ???? ?? ?????? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,8,?? ???? ??? ???? ???? ?? ??? ?? ??????,Quraysh,Adi b. Ka'b,,,,7,1,,,,,
1911,NQ363,???? ?? ???? ?? ???? ?? ?????? ?? ????,Quraysh,Qusayy,Umayyad,9,?? ???? ??? ??? ??? ?? ???? ???? ?? ??? ?? ??????,Quraysh,Adi b. Ka'b,,,,9,,,,,,
697,NQ116,???? ?? ???? ?? ??? ???? ?? ???? ?? ???? (??? ?????),Quraysh,Qusayy,Umayyad,9,????? ??? ???? ?? ?????? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,,8,,2,,,,
