"Numbering","Source","HusbandName","HusbandTribe ","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtribe3",,"HusbandGeneration ","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtribe3","WifeSubtribe4","WifeGeneration","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
58,"NQ16","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim","Abbasid",,2,"واقدة بنت ابو عدىّ/عامر بن عبد نهم/الحارث بن نوفل بن عبادة بن زيد بن وائلة بن مازن بن صعصعة","Qays Aylan","Hawazin",,,,,,2,,,,
76,"NQ18","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim","Abbasid",,3,"صفية بنت جندب بن حجير بن رئاب بن حبيب بن سواءة بن عامر بن صعصعة بن معاوية بن بكر بن هوازن","Qays Aylan","Amir b. Sa'sa'a  ",,,,,2,,,,,
162,"NQ29","على بن عبد الله بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,6,"Unnamed woman","Qays Aylan","Amir b. Sa'sa'a","Ka'b","Harish",,,1,,,,,
183,"NQ31","عبيد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,5,"القرعة بنت قطن بن الحارث بن حزن بن بخير بن الهزم بن رويبة بن عبد الله بن هلال بن عامر بن صعصعة","Qays Aylan","Amir b. Sa'sa'a",,,,,2,1,,,,
205,"NQ37","معبد بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,5,"ام جميل بنت السائب بن الحارث بن حزن بن بجير بن الهزم بن رويبة بن عبد الله بن هلال بن عامر بن صعصعة","Qays Aylan","Amir b. Sa'sa'a","Hilal",,,,1,1,,,,
216,"NQ38","تمام بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,5,"Unnamed woman","Qays Aylan","Amir b. Sa'sa'a","Hilal",,,,3,,,,,
238,"NQ43","على بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,5,"ام البنين بنت حزام بن خالد بن ربيعة بن لوحيد بن كعب بن عامر بن كلاب بن ربيعة (بن عامر بن صعصعة)","Qays Aylan","Amir b. Sa'sa'a",,,,,4,,,,,
327,"NQ55","ابراهيم بن محمد بن عبد الله بن الحسن بن الحسن بن على","Quraysh","Qusayy","Hashim","Abbasid","Hasanid",10,"Unnamed woman of Banu Ja'far b. Kilab","Qays Aylan","Amir b. Sa'sa'a","Ja'far b. Kilab",,,,1,,,,,
333,"NQ56","الحسن بن الحسن بن الحسن بن على","Quraysh","Qusayy","Hashim","Abbasid","Hasanid",8,"Unnamed - من ولد عامر بن مالك بن جعفر بن كلاب","Qays Aylan","Amir b. Sa'sa'a","Malik of Ja'far of Kilab",,,,3,,,,,
338,"NQ56","اسماعيل بن ابراهيم بن الحسن بن الحسن بن على","Quraysh","Qusayy","Hashim","Abbasid","Hasanid",9,"Unnamed woman - من بنو هلال بن عامر","Qays Aylan","Amir b. Sa'sa'a","Hilal",,,,1,,,,,
474,"NQ76","محمد بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,6,"مسرعة بنت عباد بن شيبان بن جابر بن اهيب بن نسيب بن زيد بن مالك من بنو مازن بن منصور","Qays Aylan","Mazin b. Mansur",,,,,1,,,,,
540,"NQ84","عقيل بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,5,"رابطة بنت عمرو من بنو نفيل بن عمرو بن كلاب","Qays Aylan","Amir b. Sa'sa'","Nufayl b. Amru b. Kilab",,,,,,,,,
541,"NQ84","عقيل بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,5,"Unnamed of Abu Bakr b. Kilab b. Rabi'a","Qays Aylan","Amir b. Sa'sa'","Abu Bakr b. Kilab b. Rabi'a",,,,2,,,,,
756,"NQ121","العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,4,"ام الفضل/لبابة بنت الحارث بن حزن الهلالية (بن بجير بن الهزم بن رويبة بن عبد الله بن هلال بن عامر بن صعصعةNQ 31, 37)","Qays Aylan","Amir b. Sa'sa'a","Hilal",,,,,1,,,,
762,"NQ121","محمد النبى","Quraysh","Qusayy","Hashim","Abbasid",,5,"ميمونة بنت الحارث بن حزن بن بجير بن الهزم بن رويبة بن عبد الله بن هلال بن عامر (بن صعصعةNQ 31, 37)","Qays Aylan","Amir b. Sa'sa'a",,,,,,,,,,
75,"NQ18","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim","Abbasid",,3,"نتيلة بنت جناب بن كليب بن مالك بن عمرو بن عامر بن النمر بن قاسط من بنو القرية والقرية ام بنو عمرو بن عامر","Qirrayah",,,,,,2,,,,,
51,"NQ16","هاشم بن عبد مناب","Quraysh","Qusayy","Hashim","Abbasid",,2,"اميمة بنت ادّ بن علىّ من بنو سلامان بن سعد هذيم بن زيد بن ليث بن سود بن اسلم بن الحاف بن قضاعة","Quda'a",,,,,,1,,,,,
64,"NQ17","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim","Abbasid",,3,"فاطمة بنت عمرو بن عائذ بن عمران بن مخزوم بن يقظة بن مرة","Quraysh","Makhzum",,,,4,4,4,,,,
68,"NQ17","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim","Abbasid",,3,"هالة بنت اهيب بن عبد مناف بن زهرة (بن كلاب)","Quraysh","Zuhra",,,,3,3,1,,,,
98,"NQ20","كلدة بن هاشم بن عبد مناف بن عبد الدار بن قصى","Quraysh","Qusayy","Hashim","Abbasid",,4,"اروى بنت عبد المطلب بن هاشم","Quraysh","Qusayy","Hashim",,,4,,1,,,,
99,"NQ20","ارطاة بن عبد شرحبيل بن هاشم بن عبد مناف بن عبد الدار بن قصى","Quraysh","Qusayy","Hashim","Abbasid",,5,"فاطمة بنت كلدة بن هاشم بن عبد مناف بن عبد الدار بن قصى","Quraysh","Qusayy","Abd al-Dar",,,5,,1,,,,
105,"NQ20","عبد الله بن عبد المطلب بن هاشم","Quraysh","Qusayy","Hashim","Abbasid",,4,"آمنة بنت وهب بن عبد مناف بن زهرة بن كلاب","Quraysh","Zuhra",,,,3,1,,,,,
113,"NQ21","محمد النبى","Quraysh","Qusayy","Hashim","Abbasid",,5,"خديجة بنت خويلد بن اسد بن عبد العزى بن قصى","Quraysh","Qusayy","Asad",,,4,2,4,,,,
124,"NQ22","عتبة بن ابو لهب","Quraysh","Qusayy","Hashim","Abbasid",,5,"رقية بنت محمد","Quraysh","Qusayy","Hashim",,,6,,,,,,
125,"NQ22","عتيبة بن ابو لهب","Quraysh","Qusayy","Hashim","Abbasid",,5,"ام كلثوم بنت محمد  ","Quraysh","Qusayy","Hashim",,,6,,,,,,
130,"NQ25","محمد بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,6,"ام کلثوم بنت على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,,,,,,
131,"NQ25","عون بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,6,"ام کلثوم بنت على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,,,,,,
132,"NQ25","عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,6,"ام کلثوم بنت على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,,,,,,
133,"NQ25","عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,6,"زينب بنت على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,1,1,,,,
142,"NQ28","العباس بن عتبة بن ابو لهب بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,6,"آمنة بنت العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,5,1,,,,,
147,"NQ28","الحسن بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid","Hasanid",6,"ام كلثوم بنت الفضل بن عباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,6,3,1,,,,
152,"NQ29","على بن عبد الله بن جعفر","Quraysh","Qusayy","Hashim","Alid",,6,"لبابة بنت عبد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,6,,,,,,
154,"NQ29","محمد بن عبد الله بن العباس","Quraysh","Qusayy","Hashim","Alid",,6,"لبابة بنت عبد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,6,,,,,,
155,"NQ29","عبد الله بن عبيد الله بن العباس","Quraysh","Qusayy","Hashim","Alid",,6,"اسماء بنت عبد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,6,2,,,,,
156,"NQ29","على بن عبد الله بن العباس","Quraysh","Qusayy","Hashim","Alid",,6,"العالية بنت عبيد الله بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,6,1,,,,,
161,"NQ29","على بن عبد الله بن العباس","Quraysh","Qusayy","Hashim","Alid",,6,"ام ابيها بنت عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim",,,7,1,,,,,
166,"NQ30","عبد الله بن الحسين بن عبد الله بن عبيد الله بن العباس","Quraysh","Qusayy","Hashim","Alid",,7,"ام عيسى الصغرى بنت على بن عبد الله","Quraysh","Qusayy","Hashim","Abbasid",,8,,,,,,
167,"NQ30","يحيى بن جعفر بن تمام بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,7,"اميمة بنت على بن عبد الله","Quraysh","Qusayy","Hashim","Abbasid",,7,,,,,,
168,"NQ30","عبيد الله بن قثم بن عباس بن عبيد الله بن عباس","Quraysh","Qusayy","Hashim","Alid",,8,"لبابة بنت على بن عبد الله بن العباس ","Quraysh","Qusayy","Hashim","Abbasid",,7,1,1,,,,
169,"NQ30","جعفر بن ابو جعفر المنصوربن محمد بن على بن عبد الله","Quraysh","Qusayy","Hashim","Alid",,8,"بريحة بنت عبيد الله بن قثم بن عباس بن عبيد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,9,,,,,,
172,"NQ30","محمد بن على بن عبد الله بن العباس","Quraysh","Qusayy","Hashim","Alid",,7,"ام الحكم بنت عبد الله/ببة بن الحارث بن نوفل بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,8,1,1,,,,
180,"NQ31","العباس/العنق بن عبد الله بن عباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,6,"حبيبة بنت الزبير بن العوام","Quraysh","Qusayy","Asad","Zubayrid",,6,1,,,,,
193,"NQ32","العباس بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,"لبابة بنت عبيد الله بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,6,1,,,,,
195,"NQ32","زيد بن حسن بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid","Hasanid",7,"لبابة بنت عبيد الله بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,6,,1,,,,
198,"NQ32","الحسين بن عبد الله بن عبيد الله بن عباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,7,"عابدة الحسناء بنت شعيب بن محمد بن عبد الله بن عمرو بن العاصى","Quraysh","Sahm",,,,9,,,,,,
200,"NQ33","ابراهيم بن عبد الله بن معبد (بن عباس بن عبد المطلب NQ37)","Quraysh","Qusayy","Hashim","Alid",,7,"ام محمد بنت عباس بن عبيد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,7,2,,,,,
203,"NQ33","الحسن بن عبد الله بن عبيد الله بن عباس","Quraysh","Qusayy","Hashim","Alid",,7,"ابنة الفضل الشاعر بن عباس بن عتبة بن ابو لهب بن عبد المطلب","Quraysh","Qusayy","Hashim",,,8,,1,,,,
206,"NQ37","عبيد الله بن عبد الله بن العباس","Quraysh","Qusayy","Hashim","Alid",,6,"ام محمد بنت معبد بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,,,,,,,
208,"NQ37","على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,5,"آبية بنت معبد بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,5,,,,,,
212,"NQ37","عبد الله بن معبد بن العباس","Quraysh","Qusayy","Hashim","Alid",,6,"ام محمد بنت عبيد الله بن عباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,6,3,1,,,,
213,"NQ37","عبد الله بن معبد بن العباس","Quraysh","Qusayy","Hashim","Alid",,6,"جمرة بنت عبد الله بن نوفل بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,7,1,,,,,
214,"NQ38","العباس الاكبر بن عبد الله بن معبد","Quraysh","Qusayy","Hashim","Alid",,7,"ام ابيها بنت محمد بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,7,1,,,,,
215,"NQ38","محمد بن العباس الاكبر بن عبد الله","Quraysh","Qusayy","Hashim","Alid",,8,"نفيسة بنت عبد الله بن الفضل بن العباس بن ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,9,3,,,,,
218,"NQ38","كثير بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,5,"ام كلثوم بنت على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,1,,,,,
221,"NQ38","الحارث بن عباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,5,"فاطمة بنت جنيدة بن عوف بن عبد شمس بن عمرو بن عائش بن ظرب بن الحارث بن فهر","Quraysh","Harith b. Fihr",,,,2,3,,,,,
226,"NQ39","الزبير بن الحارث بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,6,"ام العباس بنت عبيد الله بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,6,3,1,,,,
229,"NQ40","ابو طالب بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,4,"فاطمة بنت اسد بن هاشم بن عبد مناف بن قصى","Quraysh","Qusayy","Hashim",,,4,4,2,,,,
230,"NQ40","ابو سفيان بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,5,"جمانة بنت ابو طالب بن عبد المطلب ","Quraysh","Qusayy","Hashim",,,5,,,,,,
249,"NQ45","جعفر بن عقيل بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,"ام الحسين بنت على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,,,,,,
250,"NQ45","ابو الهياج/عبد الله بن ابو سفيان بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,6,"رملة بنت على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,,,,,,
252,"NQ45","مسلم بن عقيل بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,"رقية الكبرى بنت علي","Quraysh","Qusayy","Hashim","Alid",,6,3,,,,,
253,"NQ45","محمد بن عقيل بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,"زينب الصغرى بنت على ","Quraysh","Qusayy","Hashim","Alid",,6,3,,,,,
254,"NQ45","كثير بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,5,"زينب الصغرى بنت على ","Quraysh","Qusayy","Hashim","Alid",,6,,1,,,,
255,"NQ45","جعفر بن تمام بن عباس","Quraysh","Qusayy","Hashim","Alid",,6,"ام كلثوم بنت كثير بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,6,,,,,,
256,"NQ45","عبد الله الاكبر بن عقيل بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,"ام هانى بنت على بن ابو طالب بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,6,3,1,,,,
257,"NQ45","عبد الله الاكبر بن عقيل بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,"ميمونة بنت على ","Quraysh","Qusayy","Hashim","Alid",,6,1,,,,,
258,"NQ45","عبد الله الاكبر بن عقيل بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,"ام كلثوم/نفيسة الصغرى بنت على","Quraysh","Qusayy","Hashim","Alid",,6,,1,,,,
260,"NQ45","تمام بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,5,"ام كلثوم/نفيسة الصغرى بنت على","Quraysh","Qusayy","Hashim","Alid",,6,,1,,,,
261,"NQ45","عبد الله بن على بن الحسين بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid","Husaynid",8,"نفيسة بنت تمام بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,6,,,,,,
262,"NQ45","عبد الرحمن بن عقيل بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,"خديجة بنت على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,2,,,,,
264,"NQ46","محمد بن ابو سعيد بن عقيل","Quraysh","Qusayy","Hashim","Alid",,7,"فاطمة بنت على","Quraysh","Qusayy","Hashim","Alid",,6,,1,,,,
267,"NQ46","الصلت بن عبد الله بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim","Alid",,6,"امامة بنت على","Quraysh","Qusayy","Hashim","Alid",,6,,,,,,
274,"NQ50","الحسن بن على","Quraysh","Qusayy","Hashim","Alid","Hasanid",6,"ام اسحاق بنت طلحة بن عبيد الله","Quraysh","Taym b. Murra",,,,6,1,,,,,
275,"NQ50","الحسين بن على","Quraysh","Qusayy","Hashim","Alid","Husaynid",6,"ام اسحاق بنت طلحة بن عبيد الله","Quraysh","Taym b. Murra",,,,6,,1,,,,
278,"NQ50","على بن الحسن بن على","Quraysh","Qusayy","Hashim","Alid","Hasanid",7,"ام عبد الله بنت الحسن","Quraysh","Qusayy","Hashim","Alid","Hasanid",7,3,,,,,
280,"NQ50","عمرو بن الحسن بن على","Quraysh","Qusayy","Hashim","Alid","Hasanid",7,"رملة بنت عقيل بن ابو طالب","Quraysh","Qusayy","Hashim",,,6,1,,,,,
