Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
476,NQ76,???? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,6,?? ???? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,,,7,2,,,,,
471,NQ75,???? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,6,???? ??? ??? ?? ????? ?? ?????? ?? ??? ???? ?? ???,Quraysh,Qusayy,,,,5,1,,,,,
503,NQ78,??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,7,?? ???? ??? ???? ?? ??? ?? ???? ?? ??? ??? ??????,Aws,Abd al-Ashhal,,,,,1,1,,,,
497,NQ78,??????? ?? ???? ?? ???  ,Quraysh,Qusayy,Hashim,Alid,7,????? ??? ??? ???? ?? ???? ?? ????? ?? ???????,Aws,Ghanam b. al-Salam,,,,,1,1,,,,
477,NQ76,??? ???? ??? ???? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,7,???? ??? ????? ?? ??????? ?? ??? ???? ?? ??? ?? ??? ????? ?? ??? ????,Kinana,Ghifar,,,,,2,,,,,
480,NQ76,??? ???? ??? ???? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,7,?? ?????? ??? ?????? ?? ???? ?? ?????? (?? ??? ??????),Quraysh,Qusayy,Hashim,,,7,,2,,,,
478,NQ76,??? ???? ??? ???? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,7,????? ??? ???? ?? ???? ???? ?? ??????,Quraysh,Qusayy,Hashim,Abbasid,,7,1,1,,,,
491,NQ77,?????? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,7,?? ????? ??? ???? ?? ????? ?? ??? ???? ?? ????? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,,,9,2,1,,,,
509,NQ79,???? ???? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,7,?? ????? ??? ??? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Hashim,Abbasid,,7,1,1,,,,
358,NQ62,???? ?? ??? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,7,????? ??? ??? ?????? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,8,,,,,,
479,NQ76,??? ???? ??? ???? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,7,?? ????? ??? ??? ???? ?? ???? ?? ???? ?? ???? ?? ????? ?? ??????? ?? ????? ?? ????? ????? ??? ???? ?? ???,Bali,,,,,,1,,,,,
489,NQ77,??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,8,????? ??? ??? ?????? ?? ??? ?? ???? ?? ????? ????????,Aws,Haritha b. al-Harith,,,,,1,2,,,,
495,NQ78,???? ?? ?????? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,8,???? ?????? ?? ??? ???? ?? ?????? ?? ??? ???? ?? ?????? ?? ????,Quraysh,Makhzum,,,,,,1,,,,
513,NQ79,????? ?? ???? ???? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,8,?? ?????? ??? ????? ?? ???? ?? ????? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,,,8,3,,,,,
486,NQ77,????? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,8,????? ??? ??? ???? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,,8,1,,,,,
502,NQ78,??? ???? ?? ???? ?????? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,8,????? ?????? ??? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,1,,,,,
481,NQ76,???? ???? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,8,????? ??? ??? ???? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,,8,,,,,,
373,NQ63,???? ???? ?? ???? ?? ??? ?? ??? ,Quraysh,Qusayy,Hashim,Alid,8,???? ??? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,9,3,3,,,,
501,NQ78,??? ???? ?? ???? ?????? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,8,???? ??? ??????? ?? ???? ?? ??? ?????,Anmar,,,,,,2,2,,,,
518,NQ80,??? ???? ?? ???? ?? ??? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,9,?? ?????? ??? ??? ???? ?? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,2,1,,,,
519,NQ80,???? ???? ?? ???? ?? ??? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,9,??? ????? ?? ?????? ?? ?????? ?? ???? ?? ???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,,,10,2,,,,,
487,NQ77,??? ?? ????? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,9,???? ??? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,,9,1,,,,,
490,NQ77,???? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,9,???? ??? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,,8,1,2,,,,
408,NQ65,??? ?????? ?? ?????? ?? ????? ?? ??? ???? ?? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,10,????? ??? ????? ?? ??? ???? ?? ??? ?? ?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Husaynid,10,1,2,,,,
