"Numbering","Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtribe3","HusbandSubtribe4","nonQurayshAffilation","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtribe3","WifeSubtribe4","nonQurayshGeneology","WifeGeneration","Sons","Daughters","Geography","Notes1","Notes2","Notes3","Notes4","H Lat","H Lng","W Lat","W Lng"
15,"NQ10","مسعود","Ghassan",,,,,,,"الذفراء/فكيهة بنت هنى بن بلىّ بن عمرو بن الحاف بن قضاعة","Bali",,,,,,-4,1,,,"Sibling relationship",,,,,,,
16,"NQ11","النضر بن كنانة",,,,,,,-8,"عكرشة بنت عدوان بن عمرو بن قيس بن عيلان بن مضر","Qays Aylan",,,,,,-8,3,,,"Cousin marriage",,,,,,,
17,"NQ12","مالك بن النضر",,,,,,,-7,"جندلة بنت الحارث بن جندل بن عامر بن سعد بن الحارث بن عضاض بن جرهم","Jurhum",,,,,,,1,,,"Produces Quraysh","Massive mismatch with other Jurhumis in the genealogy (see Adnan and Ma'add's wives) - clear forgery.",,,,,,
18,"NQ12","فهر بن مالك",,,,,,,-6,"ليلى بنت الحارث بن تميم بن سعد بن هذيل بن مدركة بن الياس بن مضر",,,,,,,-6,3,1,,"First daughter named - marriage behaviour given","7 gen alignment",,,,,,
19,"NQ12","حنظلة بن مالك بن زيد مناة بن تميم بن مرّ بن ادّ بن طابخة بن الياس","Tamim",,,,,,-5,"جندلة بنت فهر بن مالك بن نضر","Quraysh",,,,,,-5,1,,,,,,,,,,
20,"NQ12","الملك بن عمرو بن تميم بن مرّ بن ادّ بن طابخة بن الياس","Tamim",,,,,,-6,"جندلة بنت فهر بن مالك بن نضر",,,,,,,-5,1,,,,,,,,,,
21,"NQ13","غالب بن فهر","Quraysh",,,,,,-5,"عاتكة بنت يخلد بن النضر بن كنانة","Kinana",,,,,,-6,2,,,,,,,,,,
22,"NQ13","لؤىّ بن غالب","Quraysh",,,,,,-4,"مارية بنت كعب بن القين بن جسر بن شيع الله بن اسد بن وبرة بن تغلب بن حلوان بن عمران بن الحاف بن قضاعة","Quda'a",,,,,,,5,,,"Lots of segments formed here",,,,,,,
23,"NQ13","لؤىّ بن غالب","Quraysh",,,,,,-4,"بسرة بنت غالب بن الهون بن خزيمة","Mudar",,,,,,-7,1,,,"Generational mismatch here - segment also formed",,,,,,,
24,"NQ13","كعب بن لؤىّ","Quraysh",,,,,,-3,"وحشية بنت شيبان بن محارب بن فهر بن مالك","Quraysh","Muharib b. Fihr",,,,,-3,2,,,"Cousin marriage",,,,,,,
25,"NQ13","كعب بن لؤىّ","Quraysh",,,,,,-3,"حبيبة بنت بجالة بن سعد بن فهم بن عمرو بن قيس بن عيلان بن مضر","Qays Aylan",,,,,,-6,1,,,"Somewhat mismatched; Umar's entry point though",,,,,,,
26,"NQ13","مرة بن كعب","Quraysh",,,,,,-2,"هند بنت سرير بن ثعلبة بن الحارث بن مالك بن كنانة","Kinana",,,,,,-4,1,,,,,,,,,,
27,"NQ13","مرة بن كعب","Quraysh",,,,,,-2,"بنت سعد/بارق بن عدىّ بن حارثة بن عمرو بن عامر (بن حارثة بن امرى القيس بن ثعلبة بن مازن بن الازد)","Azd","Bariq",,,,,,2,,"Wadi Bariq","Link from Nasab Yaman, p. 439 and 464. ","Link to Hala above; mismatch in generations though - three gens to Imru al-Qays for Hala, seven for Bint Sa'd difference of four, while for husbands seven",,,,,,
28,"NQ14","كلاب بن مرّة","Quraysh",,,,,,-1,"فاطمة بنت سعد بن سيل/خير بن حمالة بن عوف بن غنم بن عامر الجادر (بن عمرو بن جعثمة بن يشكر بن مبشّر بن صعب بن دهمان بن نصر NMY 505)(بن زهران NMY 501)(بن كعب بن الحارث بن كعب بن عبد الله بن مالك بن نصر بن الازد NMY 487) ","Azd","Zahran",,,,,,2,1,"East of Ta'if (EI2 Azd)","Massive mismatch in generations with previous - common link to Azd here is 21 gens, for Bint Sa'd/Bariq it is 10)",,,,,,,
30,"NQ14","ربيعة بن حرام بن ضنّة بن عبد بن كبير بن عذرة بن سعد (بن زيد بن ليث بن سود بن اسلم بن الحاف بن قضاعة NMY714-15) ","Quda'a","Udhra",,,,,,"فاطمة بنت سعد بن سيل/خير بن حمالة بن عوف بن غنم بن عامر الجادر (بن عمرو بن جعثمة بن يشكر بن مبشّر بن صعب بن دهمان بن نصر NMY 505)(بن زهران NMY 501)(بن كعب بن الحارث بن كعب بن عبد الله بن مالك بن نصر بن الازد NMY 487) ","Azd","Zahran",,,,,,1,,,"Quda'a link based on him as a son of Ma'add; alternate genealogy given NMY 551","She also married Kilab b. Murra","Reasonable generational alignment with al-Dhufra above; eight generations apart in terms of spouses, but only one generation misaligned (12 for him, five for her)",,,,,
31,"NQ14","قصىّ بن كلاب","Quraysh","Qusayy",,,,,0,"حبى بنت حليل بن حبشة بن سلول بن كعب بن عمرو (بن ربيعة بن حارثة بن عمرو بن عامر بن حارثة بن آمرىء القيس بن ثعلبة بن مازن بن الازد(JMY 439) من خزاعةبن","Khuza'a",,,,,,,4,2,"Between Mecca and Medina","First Khuza'I marriage; Qusayy evicted from Mecca. Lineage also complex and disputed.","Apparently a dispute in the genealogies over where Khuza'a placed; see NMY 439 note 1. Al-Zubayri and al-Kalbi have different ideas here.",,,,,,
32,"NQ14","عمرو بن مخزوم بن يقظة بن مرّة","Quraysh","Makhzum",,,,,1,"برّة بنت قصىّ بن كلاب","Quraysh","Qusayy",,,,,1,2,,,"Cousin marriage",,,,,,,
34,"NQ14","عبد مناف بن قصىّ","Quraysh","Qusayy",,,,,1,"عاتكة بنت مرة بن هلال بن فالج بن ذكوان بن ثعلبة بن بهثة بن سليم بن منصور (بن عكرمة بن خصافة بن قيس بن عيلان بن مضر EI2 Sulaym)","Qays Aylan","Sulaym",,,,,,3,5,"Harra of Hijaz (EI2 Sulaym)","Incredible alignment of marriage going back to Mudar",,,,,,,
35,"NQ14","مرة بن هلال بن فالج بن ذكوان بن ثعلبة بن بهثة بن سليم بن منصور (بن عكرمة بن خصافة بن قيس بن عيلان بن مضر EI2 Sulaym)","Qays Aylan","Sulaym",,,,,,"مارية بنت حوزة بن عمرو بن سلول/مرّة بن صعصعة بن معاوية بن بكر بن هوازن بن (منصور بن عكرمة بن خصفة بن قيس بن عيلان بن مضر EI2 Hawazin)","Qays Aylan","Hawazin",,,,,,,1,,"From a matriline",,,,,,,
36,"NQ14","صعصعة بن معاوية بن بكر بن هوازن","Qays Aylan","Sa'sa'a",,,,,,"سلول بنت ذهل بن شيبان بن ثعلبة (بن عفابة بن سعب بن علي بن بكر بن وائل بن كاست بن هنب بن افصى بن دعمىّ بن جديلة بن اسد بن ربيعة بن نزار EI2 Shayban)","Bakr b. Wa'il","Shayban",,,,,,1,,,"Generational mismatch - forms an important segment of Murra b. Sa'sa'a",,,,,,,
37,"NQ14","حوزة بن عمرو بن سلول/مرّة بن صعصعة بن معاوية بن بكر بن هوازن بن (منصور بن عكرمة بن خصفة بن قيس بن عيلان بن مضر EI2 Hawazin)","Qays Aylan","Hawazin","Murra",,,,,"حبيبة بنت عبد الله بن هلال بن عامر بن صعصعة","Qays Aylan","Amir b. Sa'sa'a  ",,,,,,,1,,"Cousin marriage",,,,,,,
38,"NQ14","حبش بن عامر بن رفاعة بن الحارث بن بهثة بن سليم بن منصور (بن عكرمة بن خصافة بن قيس بن عيلان بن مضر EI2 Sulaym)","Qays Aylan","Sulaym",,,,,,"عاتكة بنت مرة بن هلال بن فالج بن ذكوان بن ثعلبة بن بهثة بن سليم بن منصور (بن عكرمة بن خصافة بن قيس بن عيلان بن مضر EI2 Sulaym)","Qays Aylan","Sulaym",,,,,,1,,,,,,,,,,
39,"NQ15, NQ16","عبد مناف بن قصىّ","Quraysh","Qusayy",,,,,1,"واقدة بنت ابو عدىّ/عامر بن عبد نهم/الحارث بن نوفل بن عبادة بن زيد بن وائلة بن مازن بن صعصعة","Qays Aylan","Hawazin",,,,,,2,,,"Generational mismatch","She later married his son Hashim",,,,,,
41,"NQ15","عبد مناف بن قصىّ","Quraysh","Qusayy",,,,,1,"هند بنت كعب بن سعد بن عوف من ثقيف","Thaqif",,,,,,,,1,,"First Thaqafi marriage?","Marriage only produces a daughter, who marries a Kinani, which also produces a daughter who is linked to the Hilf al-Ahabish",,,,,,
42,"NQ15","عبد مناف بن عبد الدار بن قصىّ","Quraysh","Qusayy","Abd al-Dar",,,,2,"تماضر بنت عبد مناف بن قصىّ ","Quraysh","Qusayy",,,,,2,2,,,"Cousin marriage",,,,,,,
44,"NQ15","ظويلم بن جعيل بن عمرو بن دهمان بن نصر بن معاوية بن بكر بن هوازن","Qays Aylan","Hawazin",,,,,,"حيّة بنت عبد مناف بن قصىّ","Quraysh","Qusayy",,,,,2,1,,,"Exogamous",,,,,,,
45,"NQ15","خالد بن عامر بن امية بن ظرب بن الحارث بن فهر","Quraysh","Harith b. Fihr",,,,,-1,"ام الاخثم بنت عبد مناف بن قصىّ","Quraysh","Qusayy",,,,,2,1,,,,,,,,,,
46,"NQ15","سبيع بن حبيب بن الحارث بن مالك بن حطيط بن جشم بن قسىّ (بن منبه بن بكر بن هوازن بن منصور بن عكرمة بن خصفة بن قيس بن عيلان بن مضر Ibn Hazm 468)","Thaqif",,,,,,,"ام سفيان بنت عبد مناف بن قصىّ","Quraysh","Qusayy",,,,,2,"Unknown",,,"Genealogy of this Thaqif branch going back to Mudar given in Ibn Hazm 468",,"Exogamous",,,,,
47,"NQ15","معيط بن عامر بن عوف بن الحارث بن عبد مناة بن كنانة","Ahabish","Harith b. Abd Mana'a",,,,,-4,"ريطة بنت عبد مناف بن قصىّ","Quraysh","Qusayy",,,,,2,1,,,"Common ancestor Kinana, though generational mismatch","Union produced a daughter who is linked to the Hilf al-Ahabish",,,,,,
48,"NQ15","هاشم بن عبد مناب","Quraysh","Qusayy","Hashim",,,,2,"سلمى بنت عمرو بن زيد بن لبيد بن خداش بن عامر بن غنم بن عدىّ بن النجار تيم الله بن ثعلبة بن عمرو بن الخزرج","Khazraj","Najjar",,,,,,1,1,"Medina","First Medinan marriage?","Produced Muhammad's grandfather",,,,,,
49,"NQ15","عمرو بن زيد بن لبيد بن خداش بن عامر بن غنم بن عدىّ بن النجار تيم الله بن ثعلبة بن عمرو بن الخزرج","Khazraj","Najjar","Adi",,,,,"عميرة بنت ضخر بن حبيب بن الحارث بن ثعلبة بن مازن بن النجار","Khazraj","Najjar",,,,,,,1,,"She links six gens to Najjar, he seven","Matriline",,,,,,
50,"NQ16","احيحة بن الجلاح بن الحريش بن جحجبا بن كلفة بن عوف","Aws","Awf","Amr",,,"Ibn Hazm",,"سلمى بنت عمرو بن زيد بن لبيد بن خداش بن عامر بن غنم بن عدىّ بن النجار تيم الله بن ثعلبة بن عمرو بن الخزرج","Khazraj","Najjar",,,,,,3,,"Medina","Aws/Khazradj marriage","Sibling relationship",,,,,,
51,"NQ16","هاشم بن عبد مناب","Quraysh","Qusayy","Hashim",,,,2,"اميمة بنت ادّ بن علىّ من بنو سلامان بن سعد هذيم بن زيد بن ليث بن سود بن اسلم بن الحاف بن قضاعة","Quda'a",,,,,,,1,,,"Extended genealogy given, but link is broken after grandfather (thereafter 'min' Sulay b. Sa'd Hudhaym of Quda'a)","Dispute in genealogy here; Kitab al-munnamaq fi akhbar Quraysh lists someone else as Nadla's mother, and the discrepancy is noted in the footnotes (page 400, from Shamila)","Only son dies according to this entry (inqarada), but later on children are listed (Nq91 and NQ347)","On NQ347 full genealogy is given for wife and names of her father and grandfather are spelled differently",,,,
53,"NQ16","ربيعة بن الحارث بن حبيب بن جذيمة/شحام بن مالك بن حسل (بن عامر بن لؤي N366)","Quraysh","Amir b. Lu'ayy",,,,,3,"اميمة بنت ادّ بن علىّ","Quda'a",,,,,,,1,,,,,,,,,,
54,"NQ16","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,,2,"قيلة/الجزور بنت عامر بن مالك بن المصطلق/جذيمة بن سعد بن عمرو بن ربيعة بن حارثة (بن عمرو بن عامر بن حارثة بن آمرىء القيس بن ثعلبة بن مازن بن الازد JMY 439)","Khuza'a",,,,,,,1,,,"In NQ she is listed only as 'min Khuza'a after Haritha; his sons though are the first two Khuza'is.","Apparently a dispute in the genealogies over where Khuza'a placed; see NMY 439 note 1. Al-Zubayri and al-Kalbi have different ideas here.","Son of this union only produces a daughter",,,,,
55,"NQ16","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,,2,"هند بنت عمرو بن ثعلبة (بن سلول NQ92) بن الخزرج","Khazraj",,,,,,,2,,,"Error in genealogy here? ","Another instance where descendants either die or only produce a daughter",,,,,,
56,"NQ16","نوفل بن اهيب بن عبد مناف بن زهرة بن كلاب","Quraysh","Zuhra",,,,,3,"رقيّة بنت ابو صيفىّ بن هاشم بن عبد العزى","Quraysh","Qusayy",,,,,4,1,,,"She is here as the only descendant of her father as she produces a son",,,,,,,
57,"NQ16","المطلب بن عبد مناف بن قسىّ","Quraysh","Qusayy","Al-Muttalib",,,,2,"هند بنت عمرو بن ثعلبة بن الخزرج","Khazraj",,,,,,,2,,,"Sibling relationship",,,,,,,
58,"NQ16","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,,2,"واقدة بنت ابو عدىّ/عامر بن عبد نهم/الحارث بن نوفل بن عبادة بن زيد بن وائلة بن مازن بن صعصعة","Qays Aylan","Hawazin",,,,,,,2,,"She was previously married to his father",,,,,,,
59,"NQ16","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,,2,"ام عدىّ بنت حبيب بن الحارث بن مالك بن حطيط بن جشم بن قسىّ بن منبه بن بكر بن هوازن","Thaqif",,,,,,,,1,,,,,,,,,
60,"NQ16","هاشم بن المطلب بن عبد مناف ","Quraysh","Qusayy","Al-Muttalib",,,,3,"الشفاء بنت هاشم بن عبد مناب","Quraysh","Qusayy","Hashim",,,,3,1,,,"Cousin marriage","Quote from Ali saying that the product of this union was the first between two Hashimites; but the father was not a Hashimite",,,,,,
61,"NQ17","عبد مناف بن زهرة بن كلاب","Quraysh","Zuhra",,,,,1,"ضعيفة بنت هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,,3,2,,,"Cousin marriage, though not great alignment",,,,,,,
63,"NQ17","الاجحم بن دندنة بن عمرو بن القين بن رزاح بن عمرو بن سعد بن كعب بن عمرو من خزاعة","Khuza'a",,,,,,,"حيّة بنت هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,,3,5,6,,"A lot of children here, and an exogamous Qurashi marriage",,,,,,,
64,"NQ17","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim",,,,3,"فاطمة بنت عمرو بن عائذ بن عمران بن مخزوم بن يقظة بن مرة","Quraysh","Makhzum",,,,,4,4,4,,,,,,,,,
65,"NQ17","عمرو بن عائذ بن عمران بن مخزوم بن يقظة بن مرة","Quraysh","Makhzum",,,,,3,"تخمر بنت عبد بن قصى","Quraysh","Qusayy",,,,,2,,1,,"Cousin marriage","Matriline",,,,,,
66,"NQ17","عبد بن قصىّ","Quraysh","Qusayy",,,,,1,"سلمى بنت عامرة بن عميرة بن وديعة بن الحارث بن فهر","Quraysh","Harith b. Fihr",,,,,-1,,1,,"Cousin marriage","Matriline",,,,,,
67,"NQ17","عامرة بن عميرة بن وديعة بن الحارث بن فهر","Quraysh","Harith b. Fihr",,,,,-2,"فاطمة بنت عبد الله بن الحارث بن مالك بن عدوان","Unknown",,,,,,,,1,,"Wife tribe Hulf of Hudhayl",,"Matriline",,,,,
68,"NQ17","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim",,,,3,"هالة بنت اهيب بن عبد مناف بن زهرة (بن كلاب)","Quraysh","Zuhra",,,,,3,3,1,,,,,,,,,
69,"NQ17","اهيب بن عبد مناف بن زهرة (بن كلاب)","Quraysh","Zuhra",,,,,2,"العبلة بنت المطلب بن عبد مناف بن قصىّ","Quraysh","Qusayy","Al-Muttalib",,,,3,,1,,"Matriline",,,,,,,
70,"NQ17","المطلب بن عبد مناف بن قصىّ","Quraysh","Qusayy","Al-Muttalib",,,,2,"خديجة بنت سعيد بن سعد بن سهم (بن عمرو بن هصيص بن كعب)","Quraysh","Sahm",,,,,3,,1,,"Matriline",,,,,,,
71,"NQ17","سعيد بن سعد بن سهم (بن عمرو بن هصيص بن كعب)","Quraysh","Sahm ",,,,,2,"ام الخير بنت سعيد بن سهم (بن عمرو بن هصيص بن كعب)","Quraysh","Sahm",,,,,2,,1,,"Cousin marriage","Matriline",,,,,,
74,"NQ17","كعب بن سعد بن تيم بن مرّة","Quraysh","Taym b. Murra",,,,,1,"نائلة بنت حذافة بن جمح بن عمرو بن هصيص بن كعب","Quraysh","Jumah",,,,,2,,1,,"End of a massive matriline! Five generations - Muhammad gets six.",,,,,,,
75,"NQ18","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim",,,,3,"نتيلة بنت جناب بن كليب بن مالك بن عمرو بن عامر بن النمر بن قاسط من بنو القرية والقرية ام بنو عمرو بن عامر","Qirrayah",,,,,"NMY337 places them either amongst the Ans b. Malik b. Udad (based in Yemen) or the Nimr b. Qasit, who are based in the Euphrates Jazira ",,2,,,"Unusual tribe; apparently taken from the mother of Amr b. Amir's children.","Ibn Hazm gives the genealogy as ""B. Qasit b. Rabi'a b. Nizar"" but this is too short. See page 15 of is Nasab.","Important as this is the mother of Abbas",,,,,
76,"NQ18","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim",,,,3,"صفية بنت جندب بن حجير بن رئاب بن حبيب بن سواءة بن عامر بن صعصعة بن معاوية بن بكر بن هوازن","Qays Aylan","Amir b. Sa'sa'a  ",,,,,,2,,,,,,,,,,
77,"NQ18","حذيفة بن اقيس بن عامر بن بياضة بن سبيع بن جعثمة بن سعد بن مليح بن عمرو بن ربيعة من خزاعة","Khuza'a",,,,,,,"صفية بنت جندب بن حجير بن رئاب بن حبيب بن سواءة بن عامر بن صعصعة بن معاوية بن بكر بن هوازن","Qays Aylan","Amir b. Sa'sa'a  ",,,,,,1,,,"Half brother of Abbas","Sibling relationship",,,,,,
78,"NQ18","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim",,,,3,"لبنى بنت هاجر بن عبد مناف بن ضاطر بن حبشية بن سلول من خزاعة","Khuza'a",,,,,,,1,,,,,,,,,,
79,"NQ18","هاجر بن عبد مناف بن ضاطر بن حبشية بن سلول من خزاعة","Khuza'a",,,,,,,"هند بنت عمرو بن كعب بن سعد بن تيم بن مرة","Quraysh","Taym b. Murra",,,,,3,,1,,,,,,,,,
81,"NQ18","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim",,,,3,"Unnamed woman","Khuza'a",,,,,,,1,,,"Baladhuri's Ansa 4.310 tells us that his mother was indeed Khuza'I and refers back to Ibn al-Kalbi to say that she was called Mumta'a (or Mumna'a) bt. 'Amru b. Malik b. Mu'mil",,,,,,,
82,"NQ18","عبد العوف بن عبد بن الحارث بن زهرة بن كلاب","Quraysh","Zuhra",,,,,3,"Unnamed woman","Khuza'a",,,,,,,1,,,"Baladhuri's Ansa 4.310 tells us that his mother was indeed Khuza'I and refers back to Ibn al-Kalbi to say that she was called Mumta'a (or Mumna'a) bt. 'Amru b. Malik b. Mu'mil",,,,,,,
84,"NQ18","(عامر بن)الحضرمى","Greek/Hadrami",,,,,,,"ام طلحة بنت كريز بن ربيعة بن حبيب بن عبد شمس","Quraysh","Qusayy","Abd Shams",,,,6,3,,,"This union produced a contemporary of Muhammad's though a bit late. Hadrami family of obscure genealogical origins, though Sam'ani does provide more info (2.230) and a full genealogy appears in al-Lubab fi tahdhib al-ansab (1.370). Have they been grafted in? Descendants agents of the Umayyads.","Marriage listed in Baladhuri",,,,,,
85,"NQ18","عفان بن ابو العاص","Quraysh","Qusayy","Abd Shams","Umayyad",,,5,"اروى بنت كريز بن ربيعة بن حبيب بن عبد شمس","Quraysh","Qusayy","Abd Shams",,,,6,1,,,"Produces Uthman",,,,,,,
90,"NQ19","جحش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma ",,,,,,-1,"اميمة بنت عبد المطلب","Quraysh","Qusayy","Hashim",,,,4,3,3,,"Very poor alignment; daughters made prominent marriages, including to Muhammad","Exogamous marriage",,,,,,
91,"NQ19","زيد بن حارثة","Kalb",,,,,,,"زينب بنت جحش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma",,,,,,0,,,,"Kanat and","Muhammad's adopted son",,,,,,
92,"NQ19","محمد النبى","Quraysh","Qusayy","Hashim",,,,5,"زينب بنت جحش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma",,,,,,0,,,,"Tazawwajha",,,,,,,
93,"NQ19","عبد الرحمن بن عوف","Quraysh","Zuhra",,,,,5,"حبيبة بنت جحش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma",,,,,,0,,,,"Laysa laha walad",,,,,,,
94,"NQ19","مصعب بن عمير بن هاشم بن عبد مناف بن عبد الدار بن قصى","Quraysh","Qusayy","Hashim",,,,5,"حمنة بنت جحش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma",,,,,,0,,1,,"Very poor alignment  ",,,,,,,
96,"NQ19","طلحة بن عبيد الله بن عثمان بن عمرو بن كعب بن سعد بن تيم","Quraysh","Taym b. Murra",,,,,5,"حمنة بنت جحش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma",,,,,,0,2,,,,,,,,,,
97,"NQ19","عمير بن وهب بن عبد بن قصى","Quraysh","Qusayy",,,,,3,"اروى بنت عبد المطلب بن هاشم","Quraysh","Qusayy","Hashim",,,,4,1,,,,,,,,,,
98,"NQ20","كلدة بن هاشم بن عبد مناف بن عبد الدار بن قصى","Quraysh","Qusayy","Hashim",,,,4,"اروى بنت عبد المطلب بن هاشم","Quraysh","Qusayy","Hashim",,,,4,,1,,,,,,,,,
99,"NQ20","ارطاة بن عبد شرحبيل بن هاشم بن عبد مناف بن عبد الدار بن قصى","Quraysh","Qusayy","Hashim",,,,5,"فاطمة بنت كلدة بن هاشم بن عبد مناف بن عبد الدار بن قصى","Quraysh","Qusayy","Abd al-Dar",,,,5,,1,,,,,,,,,
100,"NQ20","الحارث بن كريز بن ربيعة بن حبيب بن عبد شمس","Quraysh","Qusayy","Abd Shams",,,,6,"زينب بنت ارطاة بن عبد شرحبيل بن هاشم بن عبد مناف بن عبد الدار بن قصى","Quraysh","Qusayy","Abd al-Dar",,,,6,,1,,"Daughter married Musaylima the Liar",,,,,,,
101,"NQ20","مسيلمة الكذاب","Hanifa",,,,,,,"كبشة بنت الحارث بن كريز بن ربيعة بن حبيب بن عبد شمس","Quraysh","Qusayy","Abd Shams",,,,7,,,,"Exogamous marriage","Tazawwajat",,,,,,
103,"NQ20","العوام بن خويلد بن اسد بن عبد العزى بن قصى","Quraysh","Qusayy","Asad",,,,4,"صفية بنت عبد المطلب بن هاشم","Quraysh","Qusayy","Hashim",,,,4,2,1,,"Produces Zubayr",,,,,,,
104,"NQ20","خالد بن حزام (بن خويلد بن اسد عبد العزى)","Quraysh","Qusayy","Asad",,,,5,"ام حبيب بنت العوام بن خويلد بن اسد بن عبد العزى بن قصى","Quraysh","Qusayy","Asad",,,,5,,1,,"Union produces a daughter for whom no marriage info is provided and we are told produced no descendants","Patriline presumed",,,,,,
105,"NQ20","عبد الله بن عبد المطلب بن هاشم","Quraysh","Qusayy","Hashim",,,,4,"آمنة بنت وهب بن عبد مناف بن زهرة بن كلاب","Quraysh","Zuhra",,,,,3,1,,,"Produces Muhammad",,,,,,,
106,"NQ20","وهب بن عبد مناف بن زهرة بن كلاب","Quraysh","Zuhra",,,,,2,"برة بنت عبد العزى بن عثمان بن عبد الدار بن قصى","Quraysh","Qusayy","Abd al-Dar",,,,4,,1,,"Matriline",,,,,,,
