Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,HusbandSubtribe4,Source for non-Qurashi tribal affiliation,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,Source for non-Qurashi genealogy,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
2036,NQ385,_____ __ _______ __ ___ ______ __ ___,Quraysh,Zuhra,,,,,7,____ ___ ____ __ ______ __ _____ __ ____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,6,,,,,,
1899,NQ361,____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,7,_____ ___ ____ __ ______,Quraysh,Adi b. Ka'b,,,,,6,2,,,,,
2000,NQ381,____ __ ____ __ ______,Quraysh,Qusayy,Zubayrid,,,,7,__ _______ ___ _______ __ ____ __ ___ ____ __ ____ __ ___ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,7,1,,,,,
1063,NQ169,____ __ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,__ ____ ___ ___ ______ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,7,1,,,,,
1047,NQ168,___ ______ __ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,__ ____ ___ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,7,4,,,,,
1942,NQ367,___ ____ __ _____ __ _______ __ ___ __ ____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,7,_____ ___ ______ __ ____ __ ______ (__ ____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___),Quraysh,Adi b. Ka'b,,,,,7,1,,,,,
2014,NQ382,___ ______ __ ______ __ _____,Quraysh,Qusayy,Umayyad,,,,7,_____ ___ _______ __ ___ __ ____ __ ___ _____ __ _____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,7,1,,,,,
1904,NQ361,___ ______ __ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,____ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,8,,,,,,
668,NQ113,____ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,____ ___ ___ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,8,1,,,,,
293,NQ51,_____ __ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,7,____ ___ ____ __ ___ __ ____ __ ____ (__ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___),Quraysh,Adi b. Ka'b,,,,,8,1,,,,,
1916,NQ363,___ ______ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,7,____ ___ ___ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,8,4,,,,,
1870,NQ357,_____ __ ___ __ ___ ____ __ ______ __ ___ ______,Quraysh,Qusayy,Hashim,Abbasid,,,7,__ ___ ______ ___ ___ ____ __ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,9,,,,,,
1897,NQ361,____ __ ______ __ ______,Quraysh,Qusayy,Zubayrid,,,,7,__ _____ ___ ___ __ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,9,,,,,,
1894,NQ360,____ __ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,__ _____ ___ ___ __ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,9,,,,,,
1913,NQ363,___ ______ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,7,_____ ___ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,,1,,,,,
1131,NQ182,____ __ ____ __ ______ __ ____ __ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,8,__ ____ ___ ____ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,7,1,,,,,
1855,NQ356,___ ____ __ ___ ____ __ _____ __ _______ __ ___ __ ____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,8,____ ___ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,7,2,1,,,,
2042,NQ385,______ __ ___ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,8,_____ ___ ___ ____ __ ____ __ ______ __ _____ __ ____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,7,,,,,,
1895,NQ361,___ __ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,8,__ ____ ___ ____ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,8,,1,,,,
1871,NQ357,___ ______ __ ___ ____ __ ___ ______ __ ___ ___ ______,Quraysh,Taym b. Murra,,,,,8,__ ___ ____ ___ ___ ______ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,8,,3,,,,
1867,NQ357,___ ____ __ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,8,__ ___ ____ ___ ___ ______ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,8,4,1,,,,
383,NQ63,___ ____ __ ___ ______ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,8,__ ____ ___ ___ __ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,9,,1,,,,
382,NQ63,_______ __ ____ __ _______ __ ____ __ ______ __ _______,Quraysh,Makhzum,,,,,8,__ ____ ___ ___ ____ __ ___ ______ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,9,,1,,,,
1911,NQ363,____ __ ____ __ ____ __ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,9,__ ____ ___ ___ ___ __ ____ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,9,,,,,,
1868,NQ357,___ ____ __ ____ __ ___ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,9,__ ___ ______ ___ ___ ____ __ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,9,,,,,,
1905,NQ362,___ __ ___ __ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,9,_____ ___ ___ __ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,9,6,,,,,
467,NQ75,____ __ ______ __ ___ __ ______ __ ___,Quraysh,Qusayy,Hashim,Alid,Husaynid,,9,__ ____ ___ ____ __ ______ __ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,10,,1,,,,
1889,NQ360,___ ____ __ ____ ____ __ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,9,__ ____ ___ ___ __ ___ __ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,10,1,,,,,
1884,NQ359,___ ____ ___ ______ __ ____ __ ___ __ ___ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,9,____ ______ ___ ___ ______ __ ___ ____ __ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,10,,,,,,
448,NQ73,_____ __ ___ __ ___ __ ____ __ ___,Quraysh,Qusayy,Hashim,Alid,Husaynid,,9,______ ___ ____ __ ___ ___ __ ____ ____ __ ___ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,11,1,,,,,
1873,NQ358,____ __ ___ ____ __ ____ __ ___ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,10,__ ____ ___ ___ ____ __ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,9,,,,,,
1869,NQ357,_____ __ ___ ____ __ ___ ______ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,10,__ ___ ______ ___ ___ ____ __ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,9,,,,,,
1883,NQ359,____ __ ___ ____ __ ___ ____ __ ____ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,10,____ ______ ___ ___ ______ __ ___ ____ __ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,10,,,,,,
1878,NQ358,____ __ ___ ______ __ ___ ____ __ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,10,_____ ___ ___ ______ __ ___ ____ __ ___ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,10,1,,,,,
1886,NQ359,____ __ ___ ______ __ ___ ____ __ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,10,__ ____ ___ ___ __ _____ __ ___ ____ __ ___ ____ __ _____ __ _______,Quraysh,Adi b. Ka'b,,,,,11,1,,,,,
1907,NQ362,___ ______ __ ___ ____ __ ___ __ ___ __ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,11,____ ___ ___ ___ __ ___ __ ___ ______ __ ___ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,11,2,,,,,
1989,NQ376,____ __ _____ ______,Anaza,,,,,Tribal link of Anaza contested,,____ ___ ___ ____ __ ____ __ ____ __ ___ ____ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,5,2,,,,,
2022,NQ383,____ __ ____ __ ____,Hudhayl,,,,,,,_____ ___ ______ __ _____ __ ____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,5,,,,,,
1933,NQ366,_____ __ ____ __ ____ __ _____ __ ____,Khuza'a,,,,,,,_____ ___ ____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,5,,,,,,
1827,NQ347,_____ __ ___ _____,Error - person does not exist,,,,,,,____ ___ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,6,1,,,,,
1854,NQ356,___ ______ __ ____ __ ___ ____ __ ___ ____ __ ___ __ ____,Confusion with this man - see footnote 4 in NQ,,,,,,,____ ___ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,7,,,,,,
1864,NQ357,___ ____ __ ______ __ ___ ____,Thaqif,,,,,,,__ ____ ___ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,8,,,,,,
1910,NQ363,______ __ ____,Thaqif,,,,,,,__ ____ ___ ___ ___ __ ____ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,9,,,,,,
1896,NQ361,____ ____ __ ____,Thaqif,,,,,Son of Ziyad b. Abihi,,__ _____ ___ ___ __ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,9,,,,,,
1565,NQ299,____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,,,,,,-1,____ ___ ____ __ ___ __ ____ __ ___,Quraysh,Amir b. Lu'ayy,,,,,-2,1,,,,,
1464,NQ275,___ __ ___,Quraysh,Taym b. Murra,,,,,-1,_______ ___ ____ __ ___ __ ____ __ ___,Quraysh,Amir b. Lu'ayy,Malik b. Hisl,,,,0,1,,,,,
1566,NQ299,_____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,0,___ ___ ____ __ ____ __ ____ __ ____ __ ___,Quraysh,Amir b. Lu'ayy,,,,,0,2,,,,,
2281,NQ430,_____ __ ____ __ ___ __ ____ __ ___,Quraysh,Amir b. Lu'ayy,,,,,0,_____ ___ ___ __ ____,Quraysh,Amir b. Lu'ayy,,,,,0,1,,,,,
1958,NQ369,____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,0,_____ ___ ___ __ ___ __ ____ (__ ____ __ ___),Quraysh,Amir b. Lu'ayy,,,,,1,2,,,,,
2361,NQ444,___ __ ___ ___ __ ____ __ ____ __ ___ __ ______ __ ___,Quraysh,Harith b. Fihr,,,,,0,____ ___ ___ __ ____ __ ____ __ ____ __ ____ __ ____,Quraysh,Amir b. Lu'ayy,,,,,4,2,1,,,,
1770,NQ342,____ __ _____,Quraysh,Makhzum,,,,,1,_____ ___ ______ __ ____ __ ____ __ ____ __ ____ __ ___,Quraysh,Amir b. Lu'ayy,,,,,2,1,,,,,
2329,NQ438,______ __ ____ __ ____ __ ____ __ ____ __ ___,Quraysh,Amir b. Lu'ayy,,,,,1,____ ___ _____ __ ___ __ _____,Quraysh,Amir b. Lu'ayy,,,,,4,1,,,,,
2367,NQ445,___ _____/____ __ ___ ____ __ ______ __ ____ __ ____ __ ___ __ ______ __ ___,Quraysh,Harith b. Fihr,,,,,1,___ ___ ____ __ ___ __ ____,Quraysh,Amir b. Lu'ayy,,,,,4,2,,,,,
